model,timestamp,seed,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,duration_training,duration_testing,performance_full,hyperparameters_full,author,notes
Single_Perceptron_Word2Vec,1730748805.846748,123,0.97117903930131,0.9711788414481594,0.9711788414481594,0.9711919779647273,0.9711919779647273,0.97117903930131,0.97117903930131,0.13425493240356445,0.014202117919921875,"{'Not Bot': {'precision': 0.9687228496959166, 'recall': 0.9737991266375546, 'f1-score': 0.9712543554006969, 'support': 3435.0}, 'Bot': {'precision': 0.9736611062335382, 'recall': 0.9685589519650655, 'f1-score': 0.9711033274956218, 'support': 3435.0}, 'accuracy': 0.97117903930131, 'macro avg': {'precision': 0.9711919779647273, 'recall': 0.97117903930131, 'f1-score': 0.9711788414481594, 'support': 6870.0}, 'weighted avg': {'precision': 0.9711919779647273, 'recall': 0.97117903930131, 'f1-score': 0.9711788414481594, 'support': 6870.0}}",{'seed': 123},Noah Sher,
Single_Perceptron_Word2Vec,1730750016.479164,123,0.9735080058224163,0.9735061174479489,0.9735061174479488,0.9736430430979137,0.9736430430979138,0.9735080058224164,0.9735080058224163,0.14055418968200684,0.0030400753021240234,"{'Not Bot': {'precision': 0.9656455768680218, 'recall': 0.9819505094614265, 'f1-score': 0.973729792147806, 'support': 3435.0}, 'Bot': {'precision': 0.9816405093278058, 'recall': 0.9650655021834061, 'f1-score': 0.9732824427480917, 'support': 3435.0}, 'accuracy': 0.9735080058224163, 'macro avg': {'precision': 0.9736430430979137, 'recall': 0.9735080058224164, 'f1-score': 0.9735061174479489, 'support': 6870.0}, 'weighted avg': {'precision': 0.9736430430979138, 'recall': 0.9735080058224163, 'f1-score': 0.9735061174479488, 'support': 6870.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1731945965.234697,123,0.977292576419214,0.9772916449305904,0.9772916449305904,0.9773709027557094,0.9773709027557095,0.977292576419214,0.977292576419214,0.789362907409668,0.10561299324035645,"{'Not Bot': {'precision': 0.9712561080770337, 'recall': 0.9836972343522562, 'f1-score': 0.977437084177032, 'support': 3435.0}, 'Bot': {'precision': 0.9834856974343852, 'recall': 0.9708879184861717, 'f1-score': 0.9771462056841488, 'support': 3435.0}, 'accuracy': 0.977292576419214, 'macro avg': {'precision': 0.9773709027557094, 'recall': 0.977292576419214, 'f1-score': 0.9772916449305904, 'support': 6870.0}, 'weighted avg': {'precision': 0.9773709027557095, 'recall': 0.977292576419214, 'f1-score': 0.9772916449305904, 'support': 6870.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1731946042.25294,123,0.9778748180494905,0.9778747261673189,0.9778747261673189,0.9778827562844367,0.9778827562844368,0.9778748180494905,0.9778748180494905,0.8144979476928711,0.07808089256286621,"{'Not Bot': {'precision': 0.9798304589301374, 'recall': 0.9758369723435225, 'f1-score': 0.9778296382730455, 'support': 3435.0}, 'Bot': {'precision': 0.9759350536387359, 'recall': 0.9799126637554585, 'f1-score': 0.9779198140615921, 'support': 3435.0}, 'accuracy': 0.9778748180494905, 'macro avg': {'precision': 0.9778827562844367, 'recall': 0.9778748180494905, 'f1-score': 0.9778747261673189, 'support': 6870.0}, 'weighted avg': {'precision': 0.9778827562844368, 'recall': 0.9778748180494905, 'f1-score': 0.9778747261673189, 'support': 6870.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1731946160.248723,123,0.9767103347889374,0.9767101749076035,0.9767101749076035,0.9767234253427501,0.97672342534275,0.9767103347889374,0.9767103347889374,0.8103830814361572,0.15525197982788086,"{'Not Bot': {'precision': 0.9742253113234868, 'recall': 0.979330422125182, 'f1-score': 0.9767711962833915, 'support': 3435.0}, 'Bot': {'precision': 0.9792215393620135, 'recall': 0.9740902474526929, 'f1-score': 0.9766491535318155, 'support': 3435.0}, 'accuracy': 0.9767103347889374, 'macro avg': {'precision': 0.9767234253427501, 'recall': 0.9767103347889374, 'f1-score': 0.9767101749076035, 'support': 6870.0}, 'weighted avg': {'precision': 0.97672342534275, 'recall': 0.9767103347889374, 'f1-score': 0.9767101749076035, 'support': 6870.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1732066232.132878,123,0.9574963609898107,0.9574939257361224,0.9574939257361224,0.9576012283621587,0.9576012283621586,0.9574963609898108,0.9574963609898107,0.6988060474395752,0.1757509708404541,"{'Not Bot': {'precision': 0.950673931746487, 'recall': 0.9650655021834061, 'f1-score': 0.957815660213811, 'support': 3435.0}, 'Bot': {'precision': 0.9645285249778304, 'recall': 0.9499272197962154, 'f1-score': 0.9571721912584336, 'support': 3435.0}, 'accuracy': 0.9574963609898107, 'macro avg': {'precision': 0.9576012283621587, 'recall': 0.9574963609898108, 'f1-score': 0.9574939257361224, 'support': 6870.0}, 'weighted avg': {'precision': 0.9576012283621586, 'recall': 0.9574963609898107, 'f1-score': 0.9574939257361224, 'support': 6870.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1732066611.207906,123,0.6153846153846154,0.5751633986928104,0.5651080945198591,0.7727272727272727,0.7902097902097902,0.6428571428571428,0.6153846153846154,0.751013994216919,0.0007760524749755859,"{'Not Bot': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7.0}, 'Bot': {'precision': 0.5454545454545454, 'recall': 1.0, 'f1-score': 0.7058823529411764, 'support': 6.0}, 'accuracy': 0.6153846153846154, 'macro avg': {'precision': 0.7727272727272727, 'recall': 0.6428571428571428, 'f1-score': 0.5751633986928104, 'support': 13.0}, 'weighted avg': {'precision': 0.7902097902097902, 'recall': 0.6153846153846154, 'f1-score': 0.5651080945198591, 'support': 13.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1732066926.704462,123,0.6153846153846154,0.5751633986928104,0.5651080945198591,0.7727272727272727,0.7902097902097902,0.6428571428571428,0.6153846153846154,0.8721461296081543,0.0005481243133544922,"{'Not Bot': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7.0}, 'Bot': {'precision': 0.5454545454545454, 'recall': 1.0, 'f1-score': 0.7058823529411764, 'support': 6.0}, 'accuracy': 0.6153846153846154, 'macro avg': {'precision': 0.7727272727272727, 'recall': 0.6428571428571428, 'f1-score': 0.5751633986928104, 'support': 13.0}, 'weighted avg': {'precision': 0.7902097902097902, 'recall': 0.6153846153846154, 'f1-score': 0.5651080945198591, 'support': 13.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1732066993.884232,123,0.6153846153846154,0.5751633986928104,0.5651080945198591,0.7727272727272727,0.7902097902097902,0.6428571428571428,0.6153846153846154,0.686898946762085,0.00040912628173828125,"{'Not Bot': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7.0}, 'Bot': {'precision': 0.5454545454545454, 'recall': 1.0, 'f1-score': 0.7058823529411764, 'support': 6.0}, 'accuracy': 0.6153846153846154, 'macro avg': {'precision': 0.7727272727272727, 'recall': 0.6428571428571428, 'f1-score': 0.5751633986928104, 'support': 13.0}, 'weighted avg': {'precision': 0.7902097902097902, 'recall': 0.6153846153846154, 'f1-score': 0.5651080945198591, 'support': 13.0}}",{'seed': 123},Noah Sher,
2_Single_2Perceptron_Word2Vec,1732067045.091385,123,0.6153846153846154,0.5751633986928104,0.5651080945198591,0.7727272727272727,0.7902097902097902,0.6428571428571428,0.6153846153846154,0.6912980079650879,0.00029397010803222656,"{'Not Bot': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7.0}, 'Bot': {'precision': 0.5454545454545454, 'recall': 1.0, 'f1-score': 0.7058823529411764, 'support': 6.0}, 'accuracy': 0.6153846153846154, 'macro avg': {'precision': 0.7727272727272727, 'recall': 0.6428571428571428, 'f1-score': 0.5751633986928104, 'support': 13.0}, 'weighted avg': {'precision': 0.7902097902097902, 'recall': 0.6153846153846154, 'f1-score': 0.5651080945198591, 'support': 13.0}}",{'seed': 123},Noah Sher,
